source_code_description,concept_name
" Other osteomyelitis, upper arm humerus, elbow joints ",Osteomyelitis
" Other chronic osteomyelitis, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Chronic osteomyelitis
" Other osteomyelitis, lower leg fibula, tibia, knee joint ",Osteomyelitis
Osteonecrosis,Bone necrosis
Idiopathic aseptic necrosis of bone,Idiopathic aseptic necrosis of bone
" Idiopathic aseptic necrosis of bone, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Idiopathic aseptic necrosis of bone
" Idiopathic aseptic necrosis of bone, forearm radius, ulna, wrist joints ",Idiopathic aseptic necrosis of bone
" Idiopathic aseptic necrosis of bone, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Idiopathic aseptic necrosis of bone
" Idiopathic aseptic necrosis of bone, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Idiopathic aseptic necrosis of bone
Osteonecrosis due to drugs,Osteonecrosis caused by drug
" Osteonecrosis due to drugs, multiple sites ",Osteonecrosis caused by drug
" Osteonecrosis due to drugs, upper arm humerus, elbow joints ",Osteonecrosis caused by drug
" Osteonecrosis due to drugs, forearm radius, ulna, wrist joints ",Osteonecrosis caused by drug
" Osteonecrosis due to drugs, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Osteonecrosis caused by drug
" Osteonecrosis due to drugs, lower leg fibula, tibia, knee joint ",Osteonecrosis caused by drug
Osteonecrosis due to previous trauma,Bone necrosis
" Osteonecrosis due to previous trauma, multiple sites ",Bone necrosis
" Osteonecrosis due to previous trauma, upper arm humerus, elbow joints ",Bone necrosis
" Osteonecrosis due to previous trauma, forearm radius, ulna, wrist joints ",Bone necrosis
" Osteonecrosis due to previous trauma, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Bone necrosis
" Osteonecrosis due to previous trauma, lower leg fibula, tibia, knee joint ",Bone necrosis
" Osteonecrosis due to previous trauma, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Bone necrosis
" Osteonecrosis due to previous trauma, other head, neck, ribs, skull, trunk, vertebral column ",Bone necrosis
Other secondary osteonecrosis,Bone necrosis
" Other secondary osteonecrosis, upper arm humerus, elbow joints ",Bone necrosis
" Other secondary osteonecrosis, forearm radius, ulna, wrist joints ",Bone necrosis
" Other secondary osteonecrosis, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Bone necrosis
" Other secondary osteonecrosis, other head, neck, ribs, skull, trunk, vertebral column ",Bone necrosis
" Other secondary osteonecrosis, site unspecified ",Bone necrosis
Other osteonecrosis,Bone necrosis
" Other osteonecrosis, multiple sites ",Bone necrosis
" Other osteonecrosis, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Bone necrosis
" Other osteonecrosis, upper arm humerus, elbow joints ",Bone necrosis
" Other osteonecrosis, hand carpus, fingers, metacarpus, joints between these bones ",Bone necrosis
" Other osteonecrosis, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Bone necrosis
" Other osteonecrosis, other head, neck, ribs, skull, trunk, vertebral column ",Bone necrosis
" Other osteonecrosis, site unspecified ",Bone necrosis
" Unspecified osteonecrosis, upper arm humerus, elbow joints ",Bone necrosis
" Unspecified osteonecrosis, forearm radius, ulna, wrist joints ",Bone necrosis
" Unspecified osteonecrosis, hand carpus, fingers, metacarpus, joints between these bones ",Bone necrosis
" Unspecified osteonecrosis, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Bone necrosis
" Unspecified osteonecrosis, site unspecified ",Bone necrosis
" Paget s disease of skull,site unspecified ",Paget s disease of skull
Paget s disease of other bones,Osteitis deformans without bone tumor
" Paget s disease of other bones, multiple sites ",Osteitis deformans without bone tumor
" Paget s disease of other bones, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Osteitis deformans without bone tumor
" Paget s disease of other bones, upper arm humerus, elbow joints ",Osteitis deformans without bone tumor
" Paget s disease of other bones, forearm radius, ulna, wrist joints ",Osteitis deformans without bone tumor
" Paget s disease of other bones, hand carpus, fingers, metacarpus, joints between these bones ",Osteitis deformans without bone tumor
" Paget s disease of other bones, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Osteitis deformans without bone tumor
" Paget s disease of other bones, site unspecified ",Osteitis deformans without bone tumor
" Paget s disease of bone, unspecified ",Osteitis deformans without bone tumor
" Paget s disease of bone, unspecified, multiple sites ",Osteitis deformans without bone tumor
" Paget s disease of bone, lower leg fibula, tibia, knee joint ",Osteitis deformans without bone tumor
" Paget s disease of bone, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Osteitis deformans without bone tumor
" Paget s disease of bone, other head, neck, ribs, skull, trunk, vertebral column ",Osteitis deformans without bone tumor
Epiphyseal arrest,Epiphyseal arrest
" Tuberculosis of bone A18.0 , forearm radius, ulna, wrist joints ",Tuberculosis of bone
" Tuberculosis of bone A18.0 , hand carpus, fingers, metacarpus, joints between these bones ",Tuberculosis of bone
" Tuberculosis of bone A18.0 , pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Tuberculosis of bone
" Tuberculosis of bone A18.0 , lower leg fibula, tibia, knee joint ",Tuberculosis of bone
" Tuberculosis of bone A18.0 , ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Tuberculosis of bone
" Tuberculosis of bone A18.1 , other head, neck, ribs, skull, trunk ",Tuberculosis of bone
Periostitis in other infectious diseases classified elsewhere,Periostitis
" Periostitis in other infectious diseases classified elsewhere, multiple sites ",Periostitis
" Periostitis in other infectious diseases classified elsewhere, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Periostitis
" Periostitis in other infectious diseases classified elsewhere, upper arm humerus, elbow joints ",Periostitis
" Periostitis in other infectious diseases classified elsewhere, hand carpus, fingers, metacarpus, joints between these bones ",Periostitis
" Periostitis in other infectious diseases classified elsewhere, lower leg fibula, tibia, knee joint ",Periostitis
" Periostitis in other infectious diseases classified elsewhere, site unspecified ",Periostitis
" Osteopathy in other infectious diseases classified elsewhere, forearm radius, ulna, wrist joints ",Disorder of bone
" Osteopathy in other infectious diseases classified elsewhere, hand carpus, fingers, metacarpus, joints between these bones ",Disorder of bone
" Osteopathy in other infectious diseases classified elsewhere, lower leg fibula, tibia, knee joint ",Disorder of bone
" Osteopathy in other infectious diseases classified elsewhere, other head, neck, ribs, skull, trunk, vertebral column ",Disorder of bone
" Osteopathy in other infectious diseases classified elsewhere, site unspecified ",Disorder of bone
Osteonecrosis in caisson disease T70.3 ,Osteonecrosis in caisson disease
" Osteonecrosis in caisson disease T70.3 , multiple sites ",Osteonecrosis in caisson disease
" Osteonecrosis in caisson disease T70.3 , shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Osteonecrosis in caisson disease
" Osteonecrosis in caisson disease T70.3 , upper arm humerus, elbow joints ",Osteonecrosis in caisson disease
" Osteonecrosis in caisson disease T70.3 , hand carpus, fingers, metacarpus, joints between these bones ",Osteonecrosis in caisson disease
Osteoporosis in other diseases classified elsewhere,Secondary generalized osteoporosis
" Osteoporosis in other diseases classified elsewhere, multiple sites ",Secondary generalized osteoporosis
" Osteoporosis in other diseases classified elsewhere, shoulder region clavicle, scapula, acromioclavicular joints, glenohemeral joints, sternoclavicular joints ",Secondary generalized osteoporosis
" Osteoporosis in other diseases classified elsewhere, hand carpus, fingers, metacarpus, joints between these bones ",Secondary generalized osteoporosis
" Osteoporosis in other diseases classified elsewhere, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Secondary generalized osteoporosis
" Osteoporosis in other diseases classified elsewhere, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Secondary generalized osteoporosis
" Epiphyseal arrest, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Epiphyseal arrest
" Epiphyseal arrest, forearm radius, ulna, wrist joints ",Epiphyseal arrest
" Epiphyseal arrest, lower leg fibula, tibia, knee joint ",Epiphyseal arrest
" Epiphyseal arrest, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Epiphyseal arrest
" Epiphyseal arrest, other head, neck, ribs, skull, trunk, vertebral column ",Epiphyseal arrest
" Epiphyseal arrest, site unspecified ",Epiphyseal arrest
Other disorders of bone development and growth,Disorder of bone and articular cartilage
" Other disorders of bone development and growth, multiple sites ",Disorder of bone and articular cartilage
" Other disorders of bone development and growth, forearm radius, ulna, wrist joints ",Disorder of bone and articular cartilage
" Other disorders of bone development and growth, hand carpus, fingers, metacarpus, joints between these bones ",Disorder of bone and articular cartilage
" Other disorders of bone development and growth, other head, neck, ribs, skull, trunk, vertebral column ",Disorder of bone and articular cartilage
" Hypertrophy of bone, multiple sites ",Hypertrophy of bone
" Hypertrophy of bone, forearm radius, ulna, wrist joints ",Hypertrophy of bone
" Hypertrophy of bone, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Hypertrophy of bone
" Hypertrophy of bone, lower leg fibula, tibia, knee joint ",Hypertrophy of bone
" Hypertrophy of bone, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Hypertrophy of bone
" Hypertrophy of bone, other head, neck, ribs, skull, trunk, vertebral column ",Hypertrophy of bone
" Other hypertrophic osteoarthropathy, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Hypertrophic osteoarthropathy
" Other hypertrophic osteoarthropathy, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Hypertrophic osteoarthropathy
" Other hypertrophic osteoarthropathy, site unspecified ",Hypertrophic osteoarthropathy
Osteolysis,Osteolysis
" Osteolysis, multiple sites ",Osteolysis
" Osteolysis, hand carpus, fingers, metacarpus, joints between these bones ",Osteolysis
" Osteolysis, lower leg fibula, tibia, knee joint ",Osteolysis
" Osteolysis, site unspecified ",Osteolysis
" Osteopathy after poliomyelitis, multiple sites ",Poliomyelitis osteopathy of multiple sites
" Osteopathy after poliomyelitis, upper arm humerus, elbow joints ",Poliomyelitis osteopathy of multiple sites
" Osteopathy after poliomyelitis, forearm radius, ulna, wrist joints ",Poliomyelitis osteopathy of multiple sites
" Osteopathy after poliomyelitis, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Poliomyelitis osteopathy of multiple sites
" Osteopathy after poliomyelitis, site unspecified ",Poliomyelitis osteopathy of multiple sites
Other specified disorders of bone,Disorder of bone
" Other specified disorders of bone, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Disorder of bone
" Other specified disorders of bone, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Disorder of bone
" Other specified disorders of bone, lower leg fibula, tibia, knee joint ",Disorder of bone
" Other specified disorders of bone, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Disorder of bone
" Other specified disorders of bone, other head, neck, ribs, skull, trunk, vertebral column ",Disorder of bone
" Other specified disorders of bone, site unspecified ",Disorder of bone
" Disorder of bone, unspecified ",Disorder of bone
" Disorder of bone, unspecified, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Disorder of bone
" Disorder of bone, unspecified, forearm radius, ulna, wrist joints ",Disorder of bone
" Disorder of bone, unspecified, hand carpus, fingers, metacarpus, joints between these bones ",Disorder of bone
" Disorder of bone, unspecified, lower leg fibula, tibia, knee joint ",Disorder of bone
" Osteonecrosis in caisson disease T70.3 , pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Osteonecrosis in caisson disease
Osteonecrosis due to hemoglobinopathy D50-D64 ,Osteonecrosis due to hemoglobinopathy
" Osteonecrosis due to hemoglobinopathy D50-D64 , multiple sites ",Osteonecrosis due to hemoglobinopathy
" Osteonecrosis due to hemoglobinopathy D50-D64 , upper arm humerus, elbow joints ",Osteonecrosis due to hemoglobinopathy
" Osteonecrosis due to hemoglobinopathy D50-D64 , forearm radius, ulna, wrist joints ",Osteonecrosis due to hemoglobinopathy
" Osteonecrosis due to hemoglobinopathy D50-D64 , ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Osteonecrosis due to hemoglobinopathy
" Osteonecrosis due to hemoglobinopathy D50-D65 , other head, neck, ribs, skull, trunk, vertebral column ",Osteonecrosis due to hemoglobinopathy
" Osteonecrosis in other diseases classified elsewhere, multiple sites ",Bone necrosis
" Osteonecrosis in other diseases classified elsewhere, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Bone necrosis
" Osteonecrosis in other diseases classified elsewhere, lower leg fibula, tibia, knee joint ",Bone necrosis
Osteitis deformans in neoplastic disease C00-D48 ,Osteitis deformans in neoplastic disease
" Osteitis deformans in neoplastic disease C00-D48 , shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Osteitis deformans in neoplastic disease
" Osteitis deformans in neoplastic disease C00-D48 , forearm radius, ulna, wrist joints ",Osteitis deformans in neoplastic disease
" Fracture of bone in neoplastic disease C00-D48 , multiple sites ",Fracture of bone in neoplastic disease
" Fracture of bone in neoplastic disease C00-D48 , upper arm humerus, elbow joints ",Fracture of bone in neoplastic disease
" Fracture of bone in neoplastic disease C00-D48 , hand carpus, fingers, metacarpus, joints between these bones ",Fracture of bone in neoplastic disease
" Fracture of bone in neoplastic disease C00-D48 , lower leg fibula, tibia, knee joint ",Fracture of bone in neoplastic disease
" Fracture of bone in neoplastic disease C00-D49 , other head, neck, ribs, skull, trunk, vertebral column ",Fracture of bone in neoplastic disease
Osteopathy in other diseases classified elsewhere,Disorder of bone and articular cartilage
" Osteopathy in other diseases classified elsewhere, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Disorder of bone and articular cartilage
" Osteopathy in other diseases classified elsewhere, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Disorder of bone and articular cartilage
Juvenile osteochondrosis of pelvis,Juvenile osteochondrosis of pelvis
" Unspecified osteomyelitis, upper arm humerus, elbow joints ",Osteomyelitis
Juvenile osteochondrosis of head of femur Legg-Calve-Perthes ,Avascular necrosis of the capital femoral epiphysis
" Juvenile osteochondrosis of head of femur legg-calve-perthes ,multiple sites ",Avascular necrosis of the capital femoral epiphysis
" Unspecified osteomyelitis, forearm radius, ulna, wrist joints ",Osteomyelitis
" Juvenile osteochondrosis of head of femur legg-calve-perthes , site unspecified ",Avascular necrosis of the capital femoral epiphysis
" Unspecified osteomyelitis, hand carpus, fingers, metacarpus, joints between these bones ",Osteomyelitis
" Coxa plana,multiple sites ",Coxa plana
Coxa plana,Coxa plana
" Unspecified osteomyelitis, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Osteomyelitis
Pseudocoxalgia,Avascular necrosis of the capital femoral epiphysis
" Other juvenile osteochondrosis of hip and pelvis,multiple sites ",Juvenile osteochondritis of hip AND OR pelvis
Other juvenile osteochondrosis of hip and pelvis,Juvenile osteochondritis of hip AND OR pelvis
Juvenile osteochondrosis of metatarsus,Juvenile osteochondrosis of foot
" Juvenile osteochondrosis of hip and pelvis, unspecified, site unspecified ",Juvenile osteochondritis of the hip and pelvis
Other specified juvenile osteochondrosis,Juvenile osteochondritis
Other osteochondropathies,Osteochondropathy
Slipped upper femoral epiphysis nontraumatic ,Slipped upper femoral epiphysis
Kienbock s disease of adults,Kienbock s disease of adults
Other specified osteochondropathies,Osteochondropathy
Chondrocostal junction syndrome Tietze ,Tietze s disease
" Relapsing polychondritis, multiple sites ",Relapsing polychondritis
" Chondrocostal junction syndrome tietze ,multiple sites ",Tietze s disease
Chondrocostal junction syndrome Tietze ,Tietze s disease
" Relapsing polychondritis, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Relapsing polychondritis
" Relapsing polychondritis, upper arm humerus, elbow joints ",Relapsing polychondritis
Chondromalacia,Chondromalacia
" Relapsing polychondritis, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Relapsing polychondritis
" Relapsing polychondritis, lower leg fibula, tibia, knee joint ",Relapsing polychondritis
" Relapsing polychondritis, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Relapsing polychondritis
" Relapsing polychondritis, other head, neck, ribs, skull, trunk, vertebral column ",Relapsing polychondritis
" Chondrolysis, upper arm humerus, elbow joints ",Chondrolysis of articular cartilage
" Chondrolysis, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Chondrolysis of articular cartilage
" Chondrolysis, hand carpus, fingers, metacarpus, joints between these bones ",Chondrolysis of articular cartilage
" Other specified disorders of cartilage, forearm radius, ulna, wrist joints ",Cartilage disorder
" Other specified disorders of cartilage, hand carpus, fingers, metacarpus, joints between these bones ",Cartilage disorder
" Other specified disorders of cartilage, pelvic region and thigh buttock, femur, pelvis, hip joint , sacroiliac joint ",Cartilage disorder
" Other specified disorders of cartilage, lower leg fibula, tibia, knee joint ",Cartilage disorder
" Chondrolysis, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Chondrolysis of articular cartilage
" Other specified disorders of cartilage, ankle and foot metatarsus, tarsus, toes, ankle joint, other joints in foot ",Cartilage disorder
" Chondrolysis, other head, neck, ribs, skull, trunk, vertebral column ",Chondrolysis of articular cartilage
" Other specified disorders of cartilage, site unspecified ",Cartilage disorder
" Disorder of cartilage, unspecified ",Cartilage disorder
" Unspecified disorders of cartilage, multiple sites ",Cartilage disorder
" Unspecified disorders of cartilage, shoulder region clavicle, scapula, acromioclavicular joints, glenohumeral joints, sternoclavicular joints ",Cartilage disorder
" Unspecified disorders of cartilage, upper arm humerus, elbow joints ",Cartilage disorder
" Unspecified disorders of cartilage, forearm radius, ulna, wrist joints ",Cartilage disorder
" Other specified disorders of cartilage, multiple sites ",Cartilage disorder
" Unspecified disorders of cartilage, site unspecified ",Cartilage disorder
" Other specified disorders of cartilage, upper arm humerus, elbow joints ",Cartilage disorder
Other acquired deformities of musculoskeletal system and connective tissue,Acquired musculoskeletal deformity
Cauliflower ear,Cauliflower ear
Other acquired deformity of head,Acquired deformity of head
Acquired deformity of pelvis,Acquired deformity of pelvis
Postradiation kyphosis,Radiation kyphosis
Other specified acquired deformities of musculoskeletal system,Acquired musculoskeletal deformity
Postlaminectomy kyphosis,Post-laminectomy kyphosis
" Postprocedural musculoskeletal disorders, NEC ",Disorder of musculoskeletal system
" Segmental and somatic dysfunction, cervical region cervicothoracic ",Segmental and somatic dysfunction
" Segmental and somatic dysfunction, lumbar region lumbosacral ",Segmental and somatic dysfunction
" Segmental and somatic dysfunction, upper extremity acromioclavicular, costovertebral ",Segmental and somatic dysfunction
" Segmental and somatic dysfunction, abdomen and other ",Segmental and somatic dysfunction
" Subluxation complex, sacral region sacrococcygeal, sacroiliac ",Subluxation complex
" Subluxation stenosis of neural canal, lumbar region lumbosacral ",Stenosis of spinal canal due to subluxation
" Subluxation stenosis of neural canal, sacral region sacrococcygeal, sacroiliac ",Stenosis of spinal canal due to subluxation
" Subluxation complex, upper extremity acromioclavicular, costovertebral ",Subluxation complex
" Subluxation stenosis of neural canal, lower extremity ",Stenosis of spinal canal due to subluxation
" Subluxation complex, rib cage costochondral, costovertebral, sternochondral ",Subluxation complex
" Subluxation stenosis of neural canal, rib cage costochondral, costovertebral, sternochondral ",Stenosis of spinal canal due to subluxation
" Subluxation stenosis of neural canal, abdomen and other ",Stenosis of spinal canal due to subluxation
" Osseous stenosis of neural canal, cervical region cervicothoracic ",Stenosis of spinal canal due to bone
" Osseous stenosis of neural canal, thoracic region thoracolumbar ",Stenosis of spinal canal due to bone
" Osseous stenosis of neural canal, lumbar region lumbosacral ",Stenosis of spinal canal due to bone
" Osseous stenosis of neural canal, rib cage costochondral, costovertebral, sternochondral ",Stenosis of spinal canal due to bone
" Connective tissue stenosis of neural canal, head region occipitocervical ",Stenosis of spinal canal due to connective tissue
" Connective tissue stenosis of neural canal, cervical region cervicothoracic ",Stenosis of spinal canal due to connective tissue
" Subluxation stenosis of neural canal, cervical region cervicothoracic ",Stenosis of spinal canal due to subluxation
" Connective tissue stenosis of neural canal, lumbar region lumbosacral ",Stenosis of spinal canal due to connective tissue
" Connective tissue stenosis of neural canal, sacral region sacrococcygeal, sacroiliac ",Stenosis of spinal canal due to connective tissue
" Connective tissue stenosis of neural canal, pelvic region hip, public ",Stenosis of spinal canal due to connective tissue
" Connective tissue stenosis of neural canal, rib cage costochondral, costovertebral, sternochondral ",Stenosis of spinal canal due to connective tissue
" Osseous and subluxation stenosis of intervertebral foramina, head region occipitocervical ",Osseous and subluxation stenosis of intervertebral foramina
" Intervertebral disc stenosis of neural canal, head region occipitocervical ",Stenosis of spinal canal due to intervertebral disc
" Intervertebral disc stenosis of neural canal, lumbar region lumbosacral ",Stenosis of spinal canal due to intervertebral disc
" Intervertebral disc stenosis of neural canal, sacral region sacrococcygeal, sacroiliac ",Stenosis of spinal canal due to intervertebral disc
Osseous and subluxation stenosis of intervertebral foramina,Osseous and subluxation stenosis of intervertebral foramina
" Osseous and subluxation stenosis of intervertebral foramina, lumbar region lumbosacral ",Osseous and subluxation stenosis of intervertebral foramina
" Connective tissue and disc stenosis of intervertebral foramina, lumbar region lumbosacral ",Connective tissue and disc stenosis of intervertebral foramina
Other biomechanical lesions,Acquired musculoskeletal deformity
Connective tissue and disc stenosis of intervertebral foramina,Connective tissue and disc stenosis of intervertebral foramina
" Other biomechanical lesions, cervical region cervicothoracic ",Acquired musculoskeletal deformity
" Other biomechanical lesions, thoracic region thoracolumbar ",Acquired musculoskeletal deformity
" Connective tissue and disc stenosis of intervertebral foramina, head region occipitocervical ",Connective tissue and disc stenosis of intervertebral foramina
" Other biomechanical lesions, lumbar region lumbosacral ",Acquired musculoskeletal deformity
" Other biomechanical lesions, sacral region sacrococcygeal, sacroiliac ",Acquired musculoskeletal deformity
" Connective tissue and disc stenosis of intervertebral foramina, cervical region cervicothoracic ",Connective tissue and disc stenosis of intervertebral foramina
" Other biomechanical lesions, lower extremity ",Acquired musculoskeletal deformity
" Other biomechanical lesions, abdomen and other ",Acquired musculoskeletal deformity
" Biomechanical lesion, unspecified, sacral region sacrococcygeal, sacroiliac ",Acquired musculoskeletal deformity
" Biomechanical lesion, unspecified, head region occipitocervical ",Acquired musculoskeletal deformity
" Biomechanical lesion, unspecified, pelvic region hip, public ",Acquired musculoskeletal deformity
" Biomechanical lesion, unspecified, thoracic region thoracolumbar ",Acquired musculoskeletal deformity
" Biomechanical lesion, unspecified, lower extremity ",Acquired musculoskeletal deformity
Acute nephritic syndrome with diffuse mesangial proliferative glomerulonephritis," Acute nephritic syndrome, diffuse mesangial proliferative glomerulonephritis "
" Biomechanical lesion, unspecified, rib cage costochondral, costovertebral, sternochondral ",Acquired musculoskeletal deformity
Acute nephritic syndrome with dense deposit disease," Acute nephritic syndrome, dense deposit disease "
Acute nephritic syndrome with diffuse crescentic glomerulonephritis," Acute nephritic syndrome, diffuse crescentic glomerulonephritis "
Acute nephritic syndrome,Acute nephritis
Other acute nephritic syndrome,Acute glomerulonephritis
Acute nephritic syndrome with focal and segmental glomerular lesions," Acute nephritic syndrome, focal and segmental glomerular lesions "
Rapidly progressive nephritic syndrome with focal and segmental glomerular lesions," Rapidly progressive nephritic syndrome, focal and segmental glomerular lesions "
Rapidly progressive nephritic syndrome with diffuse membranous glomerulonephritis," Rapidly progressive nephritic syndrome, diffuse membranous glomerulonephritis "
Unspecified rapidly progressive nephritic syndrome,Rapidly progressive nephritic syndrome
Rapidly progressive nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis," Rapidly progressive nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis "
Rapidly progressive nephritic syndrome with diffuse mesangiocapillary glomerulonephritis," Rapidly progressive nephritic syndrome, diffuse mesangiocapillary glomerulonephritis "
Chronic nephritic syndrome,Chronic nephritic syndrome
Other rapidly progressive nephritic syndrome,Rapidly progressive nephritic syndrome
Chronic nephritic syndrome with diffuse crescentic glomerulonephritis," Chronic nephritic syndrome, diffuse crescentic glomerulonephritis "
Unspecified chronic nephritic syndrome,Chronic glomerulonephritis
Nephrotic syndrome,Nephrotic syndrome
Nephrotic syndrome with diffuse mesangial proliferative glomerulonephritis," Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis "
Nephrotic syndrome with diffuse endocapillary proliferative glomerulonephritis," Nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis "
Nephrotic syndrome with diffuse mesangiocapillary glomerulonephritis," Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis "
Nephrotic syndrome with dense deposit disease," Nephrotic syndrome, dense deposit disease "
Nephrotic syndrome with diffuse crescentic glomerulonephritis," Nephrotic syndrome, diffuse crescentic glomerulonephritis "
Other nephrotic syndrome,Nephrotic syndrome
Unspecified nephrotic syndrome,Nephrotic syndrome
Unspecified nephritic syndrome,Nephritic syndrome
Unspecified nephritic syndrome with minor glomerular abnormality,Nephritic syndrome
Unspecified nephritic syndrome with focal and segmental glomerular lesions,Nephritic syndrome
Unspecified nephritic syndrome with diffuse mesangial proliferative glomerulonephritis,Mesangiocapillary glomerulonephritis
Unspecified nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis,Mesangiocapillary glomerulonephritis
Isolated proteinuria with specified morphological lesion,Isolated proteinuria with specified morphological lesion
Isolated proteinuria with minor glomerular abnormality," Isolated proteinuria with specified morphological lesion, minor glomerular abnormality "
Isolated proteinuria with diffuse membranous glomerulonephritis," Isolated proteinuria with specified morphological lesion, diffuse membranous glomerulonephritis "
Isolated proteinuria with diffuse mesangial proliferative glomerulonephritis," Isolated proteinuria with specified morphological lesion, diffuse mesangial proliferative glomerulonephritis "
Isolated proteinuria with diffuse endocapillary proliferative glomerulonephritis," Isolated proteinuria with specified morphological lesion, diffuse endocapillary proliferative glomerulonephritis "
" Hereditary nephropathy, NEC with focal and segmental glomerular lesions ",Hereditary nephritis
" Hereditary nephropathy, NEC with diffuse membranous glomerulonephritis ",Hereditary diffuse membranous glomerulonephritis
" Hereditary nephropathy, NEC with diffuse endocapillary proliferative glomerulonephritis ",Hereditary diffuse endocapillary proliferative glomerulonephritis
" Hereditary nephropathy, NEC with diffuse mesangiocapillary glomerulonephritis ",Hereditary diffuse mesangiocapillary glomerulonephritis
" Other hereditary nephropathy, NEC ",Hereditary nephropathy
Glomerular disorders in neoplastic diseases,Glomerular disorders in neoplastic diseases
Glomerular disorders in blood diseases and disorders involving the immune mechanism,Glomerular disorders in blood diseases and disorders involving the immune mechanism
" Glomerular disorders in other endocrine, nutritional and metabolic diseases ",Glomerular disease
Glomerular disorders in systemic connective tissue disorders,Glomerular disorders in blood diseases and disorders involving the immune mechanism
Acute tubulo-interstitial nephritis,Acute interstitial nephritis
Chronic tubulo-interstitial nephritis,Chronic interstitial nephritis
Nonobstructive reflux-associated chronic pyelonephritis,Non-obstructive reflux-associated chronic pyelonephritis
Chronic obstructive pyelonephritis,Chronic obstructive pyelonephritis
Other chronic tubulo-interstitial nephritis,Chronic interstitial nephritis
" Chronic tubulo-interstitial nephritis, unspecified ",Chronic interstitial nephritis
" Interstitial nephritis, not specified as acute or chronic ",Tubulointerstitial nephritis
Obstructive and reflux uropathy,Disorder of urinary tract
Hydronephrosis with ureteropelvic junction obstruction,Hydronephrosis with ureteropelvic junction obstruction
" Hydronephrosis with ureteral stricture, NEC ",Hydronephrosis
Other and unspecified hydronephrosis,Hydronephrosis
Other hydronephrosis,Hydronephrosis
Hydroureter,Hydroureter
Pyonephrosis,Pyonephrosis
